Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
992275540,MBTM5,06/01/2025 17:54:59 -05:00,06/02/2025 15:10:28 -05:00,106085.000000000,105255.000000000,2.34000,-83.000000000,1,Long,06/02/2025 00:00:00 -05:00,21:15:29.2822740
1069981136,MESU5,06/25/2025 11:36:21 -05:00,06/25/2025 15:10:25 -05:00,6144.250000000,6144.000000000,0.74000,-1.250000000,1,Long,06/25/2025 00:00:00 -05:00,03:34:04.3443330
1103062737,MESU5,07/07/2025 17:52:23 -05:00,07/07/2025 18:55:33 -05:00,6261.750000000,6268.750000000,0.74000,35.000000000,1,Long,07/08/2025 00:00:00 -05:00,01:03:09.9875600
1154260372,MESU5,07/22/2025 09:52:18 -05:00,07/22/2025 15:10:23 -05:00,6332.250000000,6345.250000000,0.74000,65.000000000,1,Long,07/22/2025 00:00:00 -05:00,05:18:05.6784260
1103066938,MESU5,07/07/2025 17:52:30 -05:00,07/07/2025 18:57:34 -05:00,6262.000000000,6268.000000000,0.74000,30.000000000,1,Long,07/08/2025 00:00:00 -05:00,01:05:04.4212910
943148786,MBTK5,05/18/2025 17:41:30 -05:00,05/18/2025 19:14:21 -05:00,105450.000000000,106960.000000000,2.34000,151.000000000,1,Long,05/19/2025 00:00:00 -05:00,01:32:50.6814950
943148712,MBTK5,05/18/2025 17:02:50 -05:00,05/18/2025 19:14:17 -05:00,104595.000000000,106955.000000000,2.34000,236.000000000,1,Long,05/19/2025 00:00:00 -05:00,02:11:27.0029800
1026969505,MESM5,06/12/2025 07:29:51 -05:00,06/12/2025 07:54:01 -05:00,5995.750000000,6011.500000000,0.74000,78.750000000,1,Long,06/12/2025 00:00:00 -05:00,00:24:09.7133270
1070523212,MESU5,06/25/2025 22:23:51 -05:00,06/25/2025 22:25:50 -05:00,6152.500000000,6153.000000000,0.74000,-2.500000000,1,Short,06/26/2025 00:00:00 -05:00,00:01:58.0629090
987674546,MBTM5,05/29/2025 17:19:46 -05:00,05/30/2025 15:10:44 -05:00,106820.000000000,105075.000000000,2.34000,-174.500000000,1,Long,05/30/2025 00:00:00 -05:00,21:50:58.3187070
971383788,MESM5,05/27/2025 08:40:13 -05:00,05/27/2025 08:40:29 -05:00,5877.500000000,5881.250000000,0.74000,18.750000000,1,Long,05/27/2025 00:00:00 -05:00,00:00:16.3575280
1094319756,MBTN5,07/02/2025 17:16:36 -05:00,07/03/2025 08:17:25 -05:00,109885.000000000,109980.000000000,2.34000,9.500000000,1,Long,07/03/2025 00:00:00 -05:00,15:00:48.6069050
1094319757,MBTN5,07/02/2025 21:40:58 -05:00,07/03/2025 08:17:25 -05:00,109210.000000000,109980.000000000,2.34000,77.000000000,1,Long,07/03/2025 00:00:00 -05:00,10:36:26.2962870
975326767,METK5,05/28/2025 08:12:01 -05:00,05/28/2025 08:22:59 -05:00,2672.000000000,2664.500000000,0.24000,-0.750000000,1,Long,05/28/2025 00:00:00 -05:00,00:10:58.6376890
1022152351,MESM5,06/10/2025 23:57:37 -05:00,06/11/2025 07:59:11 -05:00,6023.000000000,6058.750000000,0.74000,178.750000000,1,Long,06/11/2025 00:00:00 -05:00,08:01:34.3315870
1252109132,MESU5,08/19/2025 08:54:14 -05:00,08/19/2025 10:13:23 -05:00,6465.500000000,6446.750000000,0.74000,93.750000000,1,Short,08/19/2025 00:00:00 -05:00,01:19:09.1996330
1149400981,MBTN5,07/20/2025 18:17:36 -05:00,07/21/2025 14:21:36 -05:00,117590.000000000,117485.000000000,2.34000,-10.500000000,1,Long,07/21/2025 00:00:00 -05:00,20:03:59.7107570
1149400982,MBTN5,07/20/2025 18:17:38 -05:00,07/21/2025 14:21:36 -05:00,117585.000000000,117485.000000000,2.34000,-10.000000000,1,Long,07/21/2025 00:00:00 -05:00,20:03:57.7319620
1071464799,MESU5,06/25/2025 22:25:57 -05:00,06/26/2025 08:27:27 -05:00,6152.500000000,6165.250000000,0.74000,63.750000000,1,Long,06/26/2025 00:00:00 -05:00,10:01:29.6615470
972613151,MBTK5,05/27/2025 10:39:17 -05:00,05/27/2025 11:00:00 -05:00,110140.000000000,110315.000000000,2.34000,17.500000000,1,Long,05/27/2025 00:00:00 -05:00,00:20:42.2016630
1281632308,MESU5,08/27/2025 09:05:14 -05:00,08/27/2025 09:19:53 -05:00,6482.000000000,6490.750000000,0.74000,43.750000000,1,Long,08/27/2025 00:00:00 -05:00,00:14:38.2658780
1266883429,MESU5,08/22/2025 08:40:36 -05:00,08/22/2025 09:02:29 -05:00,6418.000000000,6468.750000000,0.74000,-253.750000000,1,Short,08/22/2025 00:00:00 -05:00,00:21:52.8568890
937951903,MBTK5,05/14/2025 17:39:25 -05:00,05/15/2025 15:10:33 -05:00,103805.000000000,103470.000000000,2.34000,-33.500000000,1,Long,05/15/2025 00:00:00 -05:00,21:31:08.0978040
937951927,MBTK5,05/14/2025 17:39:55 -05:00,05/15/2025 15:10:33 -05:00,103810.000000000,103470.000000000,2.34000,-34.000000000,1,Long,05/15/2025 00:00:00 -05:00,21:30:37.4928540
1217452297,MBTQ5,08/07/2025 17:18:31 -05:00,08/08/2025 15:10:36 -05:00,118120.000000000,116935.000000000,2.34000,-118.500000000,1,Long,08/08/2025 00:00:00 -05:00,21:52:05.0891090
1217452309,MBTQ5,08/07/2025 19:20:01 -05:00,08/08/2025 15:10:36 -05:00,117625.000000000,116935.000000000,2.34000,-69.000000000,1,Long,08/08/2025 00:00:00 -05:00,19:50:34.4045100
1252837351,MESU5,08/19/2025 09:05:32 -05:00,08/19/2025 11:57:15 -05:00,6474.750000000,6430.250000000,0.74000,222.500000000,1,Short,08/19/2025 00:00:00 -05:00,02:51:43.0006750
1176563217,MESU5,07/29/2025 09:10:23 -05:00,07/29/2025 15:10:31 -05:00,6430.250000000,6403.500000000,0.74000,-133.750000000,1,Long,07/29/2025 00:00:00 -05:00,06:00:08.0323970
1176563219,MESU5,07/29/2025 10:04:52 -05:00,07/29/2025 15:10:31 -05:00,6419.250000000,6403.500000000,0.74000,-78.750000000,1,Long,07/29/2025 00:00:00 -05:00,05:05:39.7620820
